,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,legitimate
16357,0.131,-0.011,-0.13,0.017,4.732484,1
16358,0.101,0.006,-0.101,0.006,4.732484,1
16359,0.086,0.006,-0.086,-0.002,4.732484,1
16360,0.078,0.006,-0.078,-0.02,4.732484,1
16361,0.044,0.003,-0.043,-0.013,4.732484,1
16362,0.024,-0.01,-0.022,0.001,4.732484,1
16363,0.018,0.012,-0.013,-0.006,4.732484,1
16364,0.008,-0.004,0.007,0.011,4.732484,1
16365,0.012,0.007,-0.01,0.007,4.732484,1
16366,0.012,-0.01,0.006,0.001,4.732484,1
16367,0.004,-0.002,-0.004,0.0,4.732484,1
16368,0.006,0.005,-0.003,0.025,4.732484,1
16369,0.005,-0.002,-0.005,0.053,4.732484,1
16370,0.008,0.008,0.002,0.035,4.732484,1
16371,0.003,0.001,0.003,0.013,4.732484,1
16372,0.009000001,-0.007,0.004,-0.005,4.732484,1
16373,0.021,0.013,-0.017,0.006,4.732484,1
16374,0.01,-0.005,0.009000001,0.008,4.732484,1
16375,0.01,0.008,-0.006,0.01,4.732484,1
16376,0.005,-0.005,-0.003,0.004,4.732484,1
16377,0.01,-0.003,0.009000001,-0.004,4.732484,1
16378,0.002,0.002,-0.001,0.018,4.732484,1
16379,0.013,-0.01,-0.008,0.021,4.732484,1
16380,0.006,0.005,0.004,0.004,4.732484,1
16381,0.007,0.004,-0.006,0.012,4.732484,1
16382,0.004,0.002,-0.003,0.053,4.732484,1
16383,0.004,0.004,-0.001,0.027,4.732484,1
16384,0.008,-0.008,-0.002,0.032,4.732484,1
16385,0.006,0.0,-0.006,0.004,4.732484,1
16386,0.007,0.006,-0.003,0.025,4.732484,1
16387,0.008,0.007,0.001,0.053,4.732484,1
16388,0.337,-0.164,0.295,0.064,4.732484,1
16389,0.5470001,-0.5470001,-0.007,-0.001,3.16778,1
16390,0.6350001,-0.6350001,-0.006,-0.013,3.160893,1
16391,0.751,-0.751,0.01,0.027,3.135143,1
16392,0.863,-0.863,-0.002,0.032,3.138219,1
16393,0.942,-0.942,-0.012,0.033,3.148204,1
16394,0.993,-0.993,-0.01,0.061,3.150779,1
16395,0.9990001,-0.9990001,-0.003,0.043,3.149188,1
16396,1.003,-1.003,0.006,0.011,3.138855,1
16397,0.9990001,-0.9990001,0.001,0.02,3.139468,1
16398,1.003,-1.003,0.002,0.0,3.139396,1
16399,1.003,-1.003,-0.002,0.022,3.142478,1
16400,1.006,-1.006,-0.006,0.045,3.143703,1
16401,0.9960001,-0.9960001,-0.003,0.029,3.144013,1
16402,0.994,-0.994,-0.016,0.029,3.149715,1
16403,0.9960001,-0.9960001,-0.003,0.001,3.14791,1
16404,1.013,-1.013,0.005,0.041,3.139849,1
16405,0.9910001,-0.9910001,-0.005,0.061,3.141768,1
16406,1.006,-1.005,-0.007,0.001,3.14619,1
16407,1.007,-1.007,0.008,0.001,3.139107,1
16408,0.988,-0.988,-0.009000001,0.0,3.142444,1
16409,1.005,-1.005,0.007,-0.005,3.136902,1
16410,1.0,-1.0,0.005,0.005,3.136917,1
16411,1.008,-1.008,0.0,-0.022,3.139593,1
16412,0.992,-0.992,-0.001,-0.017,3.141415,1
16413,1.007,-1.007,-0.005,-0.032,3.142821,1
16414,0.9850001,-0.9850001,-0.002,0.008,3.14366,1
16415,1.004,-1.004,0.008,-0.038,3.139723,1
16416,1.013,-1.013,0.006,-0.07700001,3.13781,1
16417,0.9810001,-0.9810001,0.004,-0.018,3.137232,1
16418,1.004,-1.003,-0.033,-0.031,3.147306,1
16419,0.983,-0.9820001,0.018,0.006,3.13202,1
16420,1.007,-1.007,-0.003,-0.037,3.138235,1
16421,0.9990001,-0.9990001,-0.012,-0.026,3.143449,1
16422,0.997,-0.997,0.014,-0.001,3.131507,1
16423,1.007,-1.007,0.007,-0.008,3.132268,1
16424,0.9960001,-0.9960001,-0.011,-0.025,3.143893,1
16425,1.0,-1.0,0.009000001,-0.009000001,3.136998,1
16426,1.003,-1.003,-0.005,-0.014,3.139862,1
16427,0.989,-0.989,-0.012,-0.014,3.149915,1
16428,0.9990001,-0.9990001,0.015,-0.004,3.142057,1
16429,0.994,-0.994,-0.01,-0.021,3.146708,1
16430,0.994,-0.994,0.003,-0.019,3.140947,1
16431,1.004,-1.004,-0.018,0.006,3.145762,1
16432,1.003,-1.003,0.02,-0.007,3.12891,1
16433,0.998,-0.998,-0.004,0.004,3.13568,1
16434,0.9990001,-0.9990001,0.001,-0.046,3.137458,1
16435,0.9990001,-0.9990001,-0.001,0.017,3.141372,1
16436,0.9950001,-0.9950001,0.002,-0.008,3.140981,1
16437,1.0,-1.0,-0.003,0.003,3.143331,1
16438,0.998,-0.998,-0.011,-0.004,3.148306,1
16439,1.005,-1.004,0.024,-0.048,3.138742,1
16440,0.994,-0.993,-0.015,0.0,3.151918,1
16441,0.9950001,-0.9950001,-0.001,0.044,3.149289,1
16442,1.008,-1.008,-0.01,0.038,3.150427,1
16443,1.0,-1.0,0.002,0.042,3.143497,1
16444,0.9960001,-0.9960001,-0.006,0.051,3.144655,1
16445,1.002,-1.002,0.002,0.024,3.140891,1
16446,1.006,-1.006,0.001,0.034,3.140774,1
16447,1.006,-1.006,-0.007,0.014,3.144417,1
16448,0.998,-0.998,-0.002,0.003,3.143969,1
16449,0.992,-0.992,0.0,0.021,3.143471,1
16450,1.003,-1.003,-0.001,0.012,3.142808,1
